1899,26,26,0,0,0,-9999999,-9999999,0
1902,26,26,0,0,0,-9999999,-9999999,0
1903,536,536,0,0,0,-9999999,-9999999,0
1904,570,570,0,0,0,-9999999,-9999999,0
1905,627,627,0,0,0,-9999999,-9999999,0
1906,4670,4670,0,0,0,-9999999,-9999999,0
1907,4596,4596,0,0,0,-9999999,-9999999,0
1908,6204,6204,0,0,0,-9999999,-9999999,0
1909,5687,5687,0,0,0,-9999999,-9999999,0
1910,5117,5117,0,0,0,-9999999,-9999999,0
1911,7600,7600,0,0,0,-9999999,-9999999,0
1912,2671,2671,0,0,0,-9999999,-9999999,0
1913,2936,2936,0,0,0,-9999999,-9999999,0
1914,4123,4123,0,0,0,-9999999,-9999999,0
1915,4391,4391,0,0,0,-9999999,-9999999,0
1916,4903,4903,0,0,0,-9999999,-9999999,0
1917,5418,5418,0,0,0,-9999999,-9999999,0
1918,5743,5743,0,0,0,-9999999,-9999999,0
1919,6620,6620,0,0,0,-9999999,-9999999,0
1920,7306,7306,0,0,0,-9999999,-9999999,0
1921,6902,6902,0,0,0,-9999999,-9999999,0
1922,7269,7269,0,0,0,-9999999,-9999999,0
1923,8775,8775,0,0,0,-9999999,-9999999,0
1924,9578,9578,0,0,0,-9999999,-9999999,0
1925,9067,9067,0,0,0,-9999999,-9999999,0
1926,8076,8074,2,0,0,-9999999,-9999999,0
1927,9150,9148,3,0,0,-9999999,-9999999,0
1928,9311,9296,3,0,13,-9999999,-9999999,0
1929,9776,9748,3,0,25,-9999999,-9999999,0
1930,10350,10284,42,0,24,-9999999,-9999999,0
1931,10988,10905,51,0,32,-9999999,-9999999,0
1932,10535,10450,59,0,26,-9999999,-9999999,0
1933,11522,11413,73,0,37,-9999999,-9999999,0
1934,13448,13339,77,0,32,-9999999,-9999999,0
1935,15728,15558,118,0,51,-9999999,-9999999,0
1936,17751,17472,139,0,140,-9999999,-9999999,0
1937,16533,16227,162,0,143,-9999999,-9999999,0
1938,15094,14863,228,0,3,-9999999,-9999999,0
1939,18329,17934,322,0,73,-9999999,-9999999,0
1940,23499,22921,490,0,89,-9999999,-9999999,0
1941,29371,28654,555,0,162,-9999999,-9999999,0
1942,31078,30180,684,0,214,-9999999,-9999999,0
1943,26557,26088,260,0,209,-9999999,-9999999,0
1944,26710,26381,168,0,160,-9999999,-9999999,0
1945,13742,13590,147,0,6,-9999999,-9999999,0
1946,8536,8449,59,0,28,-9999999,-9999999,0
1947,9167,9067,44,0,57,-9999999,-9999999,0
1948,6510,6421,61,0,27,-9999999,-9999999,0
1949,16187,16027,99,0,61,-9999999,-9999999,0
1950,21465,21183,169,4,109,0,0.04,0
1951,27763,27329,256,2,176,0,0.05,0
1952,34995,34237,365,4,389,0,0.06,0
1953,36600,35546,521,6,528,0,0.06,0
1954,44011,42466,912,8,626,0,0.07,0
1955,52099,49999,1479,9,612,0,0.09,0
1956,59047,55956,2209,13,869,0,0.1,0
1957,69964,66541,2453,36,933,0,0.11,0
1958,143390,138694,3373,58,1265,0,0.22,0
1959,196823,189803,5199,152,1669,0,0.3,0
1960,212906,204251,6275,544,1836,0,0.32,0
1961,150550,142597,6096,769,1088,0,0.23,0
1962,120087,112425,5940,634,1088,0,0.18,0
1963,119088,110842,6351,534,1360,0,0.17,0
